#  BL207                                           
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =   250000
#  Ncrit =   9.0000
#
#    x           cf
   0.115300E-02  0.271917E-02
    0.00000      0.108417    
   0.351000E-03  0.397653E-02
   0.773000E-03  0.490186E-01
   0.186300E-02  0.536155E-01
   0.330300E-02  0.528309E-01
   0.513300E-02  0.384542E-01
   0.734100E-02  0.189020E-01
   0.977500E-02  0.173779E-01
   0.124010E-01  0.159891E-01
   0.152230E-01  0.144410E-01
   0.182530E-01  0.126802E-01
   0.215010E-01  0.108333E-01
   0.249780E-01  0.945043E-02
   0.286950E-01  0.874910E-02
   0.326740E-01  0.815934E-02
   0.369450E-01  0.758098E-02
   0.415390E-01  0.694708E-02
   0.464930E-01  0.636152E-02
   0.518500E-01  0.591856E-02
   0.576640E-01  0.565651E-02
   0.640000E-01  0.541596E-02
   0.709370E-01  0.521875E-02
   0.785630E-01  0.503606E-02
   0.869850E-01  0.490108E-02
   0.963170E-01  0.476214E-02
   0.106669      0.463289E-02
   0.118124      0.447985E-02
   0.130719      0.430792E-02
   0.144434      0.408099E-02
   0.159235      0.383842E-02
   0.175114      0.357301E-02
   0.192030      0.329828E-02
   0.209886      0.302343E-02
   0.228541      0.275747E-02
   0.247837      0.252745E-02
   0.267632      0.233900E-02
   0.287821      0.217347E-02
   0.308322      0.200916E-02
   0.329078      0.185373E-02
   0.350035      0.173354E-02
   0.371127      0.167055E-02
   0.392291      0.163508E-02
   0.413478      0.161683E-02
   0.434653      0.158870E-02
   0.455796      0.153696E-02
   0.476899      0.144225E-02
   0.497967      0.129074E-02
   0.519012      0.107861E-02
   0.540066      0.816999E-03
   0.561190      0.525192E-03
   0.582451      0.256732E-03
   0.603841      0.635883E-04
   0.625260     -0.566348E-04
   0.646633     -0.141322E-03
   0.667990     -0.201847E-03
   0.689407     -0.234209E-03
   0.710914     -0.244736E-03
   0.732502     -0.244178E-03
   0.754161     -0.240314E-03
   0.775895     -0.236091E-03
   0.797697     -0.231696E-03
   0.819540     -0.143880E-03
   0.841377      0.449213E-03
   0.863153      0.124676E-02
   0.884809      0.221835E-02
   0.906276      0.301999E-02
   0.927469      0.359010E-02
   0.948233      0.396962E-02
   0.968357      0.417962E-02
   0.987648      0.444647E-02
    1.00000      0.283493E-02
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05936       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15635       0.00000    
    1.18903       0.00000    
    1.22599       0.00000    
    1.26780       0.00000    
    1.31509       0.00000    
    1.36857       0.00000    
    1.42907       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66241       0.00000    
    1.76141       0.00000    
    1.87339       0.00000    
    2.00003       0.00000    

   0.257900E-02  0.950087E-02
   0.436900E-02  0.213002E-01
   0.653100E-02  0.166660E-01
   0.894900E-02  0.167514E-01
   0.115160E-01  0.167498E-01
   0.142450E-01  0.154937E-01
   0.171480E-01  0.140057E-01
   0.202380E-01  0.124446E-01
   0.235220E-01  0.109528E-01
   0.270110E-01  0.991388E-02
   0.307170E-01  0.919549E-02
   0.346660E-01  0.837723E-02
   0.388860E-01  0.757422E-02
   0.434070E-01  0.687161E-02
   0.482680E-01  0.630357E-02
   0.535080E-01  0.609958E-02
   0.591810E-01  0.611103E-02
   0.653460E-01  0.608988E-02
   0.720750E-01  0.600964E-02
   0.794570E-01  0.572822E-02
   0.876030E-01  0.537284E-02
   0.966400E-01  0.500819E-02
   0.106698      0.472503E-02
   0.117882      0.448615E-02
   0.130259      0.426340E-02
   0.143830      0.406334E-02
   0.158574      0.386848E-02
   0.174493      0.371093E-02
   0.191551      0.356108E-02
   0.209632      0.344349E-02
   0.228549      0.333679E-02
   0.248098      0.323437E-02
   0.268118      0.312513E-02
   0.288498      0.303476E-02
   0.309139      0.299405E-02
   0.329942      0.301137E-02
   0.350798      0.307082E-02
   0.371581      0.319509E-02
   0.392219      0.326585E-02
   0.412744      0.317515E-02
   0.433246      0.298167E-02
   0.453768      0.280222E-02
   0.474290      0.265438E-02
   0.494789      0.251410E-02
   0.515276      0.235349E-02
   0.535779      0.218275E-02
   0.556299      0.202410E-02
   0.576813      0.187415E-02
   0.597313      0.170231E-02
   0.617833      0.148869E-02
   0.638414      0.125498E-02
   0.659046      0.103006E-02
   0.679686      0.803619E-03
   0.700331      0.546068E-03
   0.721050      0.266789E-03
   0.741916      0.364090E-04
   0.762928     -0.106575E-03
   0.784025     -0.177315E-03
   0.805148     -0.202435E-03
   0.826265     -0.203419E-03
   0.847345     -0.195432E-03
   0.868344     -0.186150E-03
   0.889206     -0.178796E-03
   0.909869     -0.173213E-03
   0.930251     -0.168984E-03
   0.950208     -0.165787E-03
   0.969549     -0.163403E-03
   0.988107     -0.161703E-03
    1.00000     -0.143087E-03
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05936       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15635       0.00000    
    1.18903       0.00000    
    1.22599       0.00000    
    1.26780       0.00000    
    1.31509       0.00000    
    1.36857       0.00000    
    1.42907       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66241       0.00000    
    1.76141       0.00000    
    1.87339       0.00000    
    2.00003       0.00000    

