#  BL207                                           
#  alpha =   1.0000
#  Mach  =   0.0000
#  Reyn  =  2500000
#  Ncrit =   9.0000
#
#    x           cf
    0.00000      0.151370E-02
   0.351000E-03  0.780782E-02
   0.773000E-03  0.678296E-02
   0.186300E-02  0.132695E-01
   0.330300E-02  0.114567E-01
   0.513300E-02  0.115161E-01
   0.734100E-02  0.574090E-02
   0.977500E-02  0.678138E-02
   0.124010E-01  0.592263E-02
   0.152230E-01  0.535470E-02
   0.182530E-01  0.475981E-02
   0.215010E-01  0.412744E-02
   0.249780E-01  0.369686E-02
   0.286950E-01  0.354405E-02
   0.326740E-01  0.333137E-02
   0.369450E-01  0.309553E-02
   0.415390E-01  0.282512E-02
   0.464930E-01  0.258711E-02
   0.518500E-01  0.241907E-02
   0.576640E-01  0.233100E-02
   0.640000E-01  0.221737E-02
   0.709370E-01  0.211724E-02
   0.785630E-01  0.201701E-02
   0.869850E-01  0.194295E-02
   0.963170E-01  0.186209E-02
   0.106669      0.179051E-02
   0.118124      0.171056E-02
   0.130719      0.163080E-02
   0.144434      0.153147E-02
   0.159235      0.143667E-02
   0.175114      0.133708E-02
   0.192030      0.123794E-02
   0.209886      0.114080E-02
   0.228541      0.104686E-02
   0.247837      0.968761E-03
   0.267632      0.907580E-03
   0.287821      0.852800E-03
   0.308322      0.793063E-03
   0.329078      0.733841E-03
   0.350035      0.690168E-03
   0.371127      0.675179E-03
   0.392291      0.669093E-03
   0.413478      0.670404E-03
   0.434653      0.666398E-03
   0.455796      0.654966E-03
   0.476899      0.628872E-03
   0.497967      0.582806E-03
   0.519012      0.514098E-03
   0.540066      0.424538E-03
   0.561190      0.312526E-03
   0.582451      0.204986E-03
   0.603841      0.147940E-03
   0.625260      0.162648E-03
   0.646633      0.368863E-03
   0.667990      0.194287E-02
   0.689407      0.335062E-02
   0.710914      0.396647E-02
   0.732502      0.408362E-02
   0.754161      0.399422E-02
   0.775895      0.382851E-02
   0.797697      0.365844E-02
   0.819540      0.350944E-02
   0.841377      0.337536E-02
   0.863153      0.323998E-02
   0.884809      0.310287E-02
   0.906276      0.296158E-02
   0.927469      0.280865E-02
   0.948233      0.263163E-02
   0.968357      0.239778E-02
   0.987648      0.210858E-02
    1.00000      0.132449E-02
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05935       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15634       0.00000    
    1.18902       0.00000    
    1.22598       0.00000    
    1.26779       0.00000    
    1.31508       0.00000    
    1.36857       0.00000    
    1.42906       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66242       0.00000    
    1.76143       0.00000    
    1.87342       0.00000    
    2.00008       0.00000    

   0.115300E-02  0.903418E-02
   0.257900E-02  0.858472E-02
   0.436900E-02  0.131751E-01
   0.653100E-02  0.598379E-02
   0.894900E-02  0.592147E-02
   0.115160E-01  0.624912E-02
   0.142450E-01  0.536999E-02
   0.171480E-01  0.456957E-02
   0.202380E-01  0.381989E-02
   0.235220E-01  0.314959E-02
   0.270110E-01  0.276002E-02
   0.307170E-01  0.254926E-02
   0.346660E-01  0.225948E-02
   0.388860E-01  0.196809E-02
   0.434070E-01  0.172159E-02
   0.482680E-01  0.153332E-02
   0.535080E-01  0.153619E-02
   0.591810E-01  0.163973E-02
   0.653460E-01  0.170522E-02
   0.720750E-01  0.173184E-02
   0.794570E-01  0.164802E-02
   0.876030E-01  0.153080E-02
   0.966400E-01  0.140982E-02
   0.106698      0.132977E-02
   0.117882      0.126705E-02
   0.130259      0.120769E-02
   0.143830      0.115628E-02
   0.158574      0.110332E-02
   0.174493      0.106583E-02
   0.191551      0.102758E-02
   0.209632      0.100196E-02
   0.228549      0.977919E-03
   0.248098      0.953257E-03
   0.268118      0.922419E-03
   0.288498      0.897694E-03
   0.309139      0.892949E-03
   0.329942      0.911135E-03
   0.350798      0.944091E-03
   0.371581      0.100717E-02
   0.392219      0.104570E-02
   0.412744      0.101235E-02
   0.433246      0.938003E-03
   0.453768      0.877209E-03
   0.474290      0.833777E-03
   0.494789      0.794298E-03
   0.515276      0.744584E-03
   0.535779      0.690942E-03
   0.556299      0.646213E-03
   0.576813      0.609710E-03
   0.597313      0.565372E-03
   0.617833      0.502008E-03
   0.638414      0.432896E-03
   0.659046      0.377580E-03
   0.679686      0.330346E-03
   0.700331      0.264802E-03
   0.721050      0.169159E-03
   0.741916      0.838594E-04
   0.762928      0.399534E-04
   0.784025      0.324507E-04
   0.805148      0.593794E-04
   0.826265      0.363152E-03
   0.847345      0.168084E-02
   0.868344      0.276756E-02
   0.889206      0.326426E-02
   0.909869      0.339645E-02
   0.930251      0.335836E-02
   0.950208      0.323926E-02
   0.969549      0.304694E-02
   0.988107      0.286610E-02
    1.00000      0.181551E-02
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05935       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15634       0.00000    
    1.18902       0.00000    
    1.22598       0.00000    
    1.26779       0.00000    
    1.31508       0.00000    
    1.36857       0.00000    
    1.42906       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66242       0.00000    
    1.76143       0.00000    
    1.87342       0.00000    
    2.00008       0.00000    

