#  BL207                                           
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  = 25000000
#  Ncrit =   9.0000
#
#    x           cf
    0.00000      0.456431E-02
   0.351000E-03  0.155320E-02
   0.773000E-03  0.515944E-02
   0.186300E-02  0.380343E-02
   0.330300E-02  0.557371E-02
   0.513300E-02  0.337560E-02
   0.734100E-02  0.165278E-02
   0.977500E-02  0.207195E-02
   0.124010E-01  0.177687E-02
   0.152230E-01  0.159321E-02
   0.182530E-01  0.138779E-02
   0.215010E-01  0.115951E-02
   0.249780E-01  0.101743E-02
   0.286950E-01  0.995904E-03
   0.326740E-01  0.937538E-03
   0.369450E-01  0.867744E-03
   0.415390E-01  0.780374E-03
   0.464930E-01  0.705241E-03
   0.518500E-01  0.658022E-03
   0.576640E-01  0.643580E-03
   0.640000E-01  0.614462E-03
   0.709370E-01  0.593004E-03
   0.785630E-01  0.579113E-03
   0.869850E-01  0.268842E-02
   0.963170E-01  0.514079E-02
   0.106669      0.534454E-02
   0.118124      0.491957E-02
   0.130719      0.466719E-02
   0.144434      0.449747E-02
   0.159235      0.436012E-02
   0.175114      0.423054E-02
   0.192030      0.410685E-02
   0.209886      0.398824E-02
   0.228541      0.387414E-02
   0.247837      0.377105E-02
   0.267632      0.368036E-02
   0.287821      0.359690E-02
   0.308322      0.351353E-02
   0.329078      0.343182E-02
   0.350035      0.335987E-02
   0.371127      0.330712E-02
   0.392291      0.326304E-02
   0.413478      0.322802E-02
   0.434653      0.319425E-02
   0.455796      0.316021E-02
   0.476899      0.312054E-02
   0.497967      0.307074E-02
   0.519012      0.300770E-02
   0.540066      0.293116E-02
   0.561190      0.283542E-02
   0.582451      0.273116E-02
   0.603841      0.264767E-02
   0.625260      0.259855E-02
   0.646633      0.255051E-02
   0.667990      0.247908E-02
   0.689407      0.239722E-02
   0.710914      0.231482E-02
   0.732502      0.223302E-02
   0.754161      0.215101E-02
   0.775895      0.206740E-02
   0.797697      0.199152E-02
   0.819540      0.192725E-02
   0.841377      0.186918E-02
   0.863153      0.180860E-02
   0.884809      0.174395E-02
   0.906276      0.167310E-02
   0.927469      0.159185E-02
   0.948233      0.149321E-02
   0.968357      0.136133E-02
   0.987648      0.119269E-02
    1.00000      0.817804E-03
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05936       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15635       0.00000    
    1.18903       0.00000    
    1.22599       0.00000    
    1.26780       0.00000    
    1.31509       0.00000    
    1.36857       0.00000    
    1.42907       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66241       0.00000    
    1.76141       0.00000    
    1.87339       0.00000    
    2.00003       0.00000    

   0.115300E-02  0.119663E-02
   0.257900E-02  0.134608E-02
   0.436900E-02  0.351756E-02
   0.653100E-02  0.151463E-02
   0.894900E-02  0.202823E-02
   0.115160E-01  0.179551E-02
   0.142450E-01  0.166202E-02
   0.171480E-01  0.144836E-02
   0.202380E-01  0.125280E-02
   0.235220E-01  0.106449E-02
   0.270110E-01  0.961495E-03
   0.307170E-01  0.903133E-03
   0.346660E-01  0.803188E-03
   0.388860E-01  0.709095E-03
   0.434070E-01  0.630664E-03
   0.482680E-01  0.565910E-03
   0.535080E-01  0.571241E-03
   0.591810E-01  0.599737E-03
   0.653460E-01  0.604292E-03
   0.720750E-01  0.600731E-03
   0.794570E-01  0.561774E-03
   0.876030E-01  0.520306E-03
   0.966400E-01  0.480586E-03
   0.106698      0.456532E-03
   0.117882      0.435851E-03
   0.130259      0.414742E-03
   0.143830      0.396369E-03
   0.158574      0.376980E-03
   0.174493      0.363624E-03
   0.191551      0.349243E-03
   0.209632      0.339730E-03
   0.228549      0.330455E-03
   0.248098      0.321114E-03
   0.268118      0.309568E-03
   0.288498      0.300419E-03
   0.309139      0.298323E-03
   0.329942      0.303782E-03
   0.350798      0.313431E-03
   0.371581      0.334263E-03
   0.392219      0.345759E-03
   0.412744      0.331972E-03
   0.433246      0.306376E-03
   0.453768      0.644842E-03
   0.474290      0.255188E-02
   0.494789      0.335619E-02
   0.515276      0.330953E-02
   0.535779      0.314170E-02
   0.556299      0.302885E-02
   0.576813      0.295233E-02
   0.597313      0.288434E-02
   0.617833      0.280963E-02
   0.638414      0.273528E-02
   0.659046      0.267530E-02
   0.679686      0.262526E-02
   0.700331      0.256378E-02
   0.721050      0.247501E-02
   0.741916      0.238587E-02
   0.762928      0.232321E-02
   0.784025      0.228120E-02
   0.805148      0.224364E-02
   0.826265      0.220648E-02
   0.847345      0.216860E-02
   0.868344      0.213051E-02
   0.889206      0.208951E-02
   0.909869      0.204479E-02
   0.930251      0.199340E-02
   0.950208      0.193228E-02
   0.969549      0.184309E-02
   0.988107      0.177057E-02
    1.00000      0.119653E-02
    1.00010       0.00000    
    1.01230       0.00000    
    1.02610       0.00000    
    1.04170       0.00000    
    1.05936       0.00000    
    1.07932       0.00000    
    1.10191       0.00000    
    1.12745       0.00000    
    1.15635       0.00000    
    1.18903       0.00000    
    1.22599       0.00000    
    1.26780       0.00000    
    1.31509       0.00000    
    1.36857       0.00000    
    1.42907       0.00000    
    1.49749       0.00000    
    1.57488       0.00000    
    1.66241       0.00000    
    1.76141       0.00000    
    1.87339       0.00000    
    2.00003       0.00000    

