#      x          Cp  
     0.99999    0.37832
     0.98765    0.15760
     0.96836    0.10959
     0.94823    0.07380
     0.92747    0.04633
     0.90628    0.02265
     0.88481    0.00115
     0.86315   -0.01910
     0.84138   -0.03848
     0.81954   -0.05711
     0.79770   -0.07738
     0.77590   -0.10052
     0.75416   -0.12513
     0.73250   -0.14849
     0.71091   -0.17119
     0.68941   -0.19345
     0.66799   -0.21505
     0.64663   -0.23360
     0.62526   -0.24599
     0.60384   -0.25843
     0.58245   -0.27850
     0.56119   -0.30185
     0.54007   -0.32145
     0.51901   -0.33544
     0.49797   -0.34569
     0.47690   -0.35256
     0.45580   -0.35705
     0.43465   -0.36034
     0.41348   -0.36368
     0.39229   -0.36739
     0.37113   -0.37296
     0.35003   -0.37999
     0.32908   -0.39009
     0.30832   -0.40086
     0.28782   -0.41060
     0.26763   -0.41909
     0.24784   -0.42751
     0.22854   -0.43626
     0.20989   -0.44448
     0.19203   -0.45076
     0.17511   -0.45509
     0.15923   -0.45752
     0.14443   -0.45798
     0.13072   -0.45747
     0.11812   -0.45494
     0.10667   -0.45254
     0.09632   -0.45002
     0.08699   -0.44864
     0.07856   -0.44738
     0.07094   -0.44800
     0.06400   -0.44860
     0.05766   -0.45007
     0.05185   -0.45054
     0.04649   -0.45469
     0.04154   -0.45950
     0.03694   -0.46207
     0.03267   -0.46028
     0.02869   -0.45648
     0.02498   -0.45095
     0.02150   -0.45276
     0.01825   -0.45062
     0.01522   -0.43482
     0.01240   -0.40818
     0.00978   -0.37420
     0.00734   -0.33536
     0.00513   -0.33126
     0.00330   -0.08980
     0.00186    0.28056
     0.00077    0.64426
     0.00035    0.79849
     0.00000    0.93931
     0.00115    0.89906
     0.00258    0.67948
     0.00437    0.39769
     0.00653    0.27742
     0.00895    0.22984
     0.01152    0.15381
     0.01425    0.09869
     0.01715    0.06419
     0.02024    0.04675
     0.02352    0.04303
     0.02701    0.04194
     0.03072    0.03904
     0.03467    0.04120
     0.03889    0.04723
     0.04341    0.05559
     0.04827    0.06554
     0.05351    0.06812
     0.05918    0.06348
     0.06535    0.05656
     0.07208    0.04737
     0.07946    0.04173
     0.08760    0.03820
     0.09664    0.03659
     0.10670    0.03416
     0.11788    0.03139
     0.13026    0.02871
     0.14383    0.02569
     0.15857    0.02303
     0.17449    0.01940
     0.19155    0.01581
     0.20963    0.01113
     0.22855    0.00604
     0.24810    0.00082
     0.26812   -0.00366
     0.28850   -0.00818
     0.30914   -0.01429
     0.32994   -0.02313
     0.35080   -0.03465
     0.37158   -0.05164
     0.39222   -0.06910
     0.41274   -0.08016
     0.43325   -0.08526
     0.45377   -0.08939
     0.47429   -0.09351
     0.49479   -0.09675
     0.51528   -0.09745
     0.53578   -0.09614
     0.55630   -0.09456
     0.57681   -0.09318
     0.59731   -0.09015
     0.61783   -0.08353
     0.63841   -0.07464
     0.65905   -0.06662
     0.67969   -0.05958
     0.70033   -0.04967
     0.72105   -0.03303
     0.74192   -0.01427
     0.76293    0.00065
     0.78402    0.01196
     0.80515    0.02251
     0.82627    0.03300
     0.84735    0.04373
     0.86834    0.05462
     0.88921    0.06640
     0.90987    0.07940
     0.93025    0.09448
     0.95021    0.11298
     0.96955    0.13841
     0.98811    0.17767
     1.00000    0.37832
